"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"843","@DougJBalloon CNN lays off talentless pundit with a penchant for framing events as bad news for Democrats. Why this… https://t.co/DmB2zxdYhi",FALSE,0,"DougJBalloon",2022-12-02 02:21:25,TRUE,"1598500093514203138","1598502566782017538","22998311","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeaderZaius",0,FALSE,FALSE,NA,NA
"844","RT @WhaleChart: Do you think Joe Biden and the democrats are behind FTX?",FALSE,0,NA,2022-12-02 02:21:25,FALSE,NA,"1598502566551232512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mustofferson",82,TRUE,FALSE,NA,NA
"845","RT @MarshaBlackburn: Every day, men and women drop everything to serve and protect our nation.

Joe Biden’s willing to discharge them becau…",FALSE,0,NA,2022-12-02 02:21:24,FALSE,NA,"1598502564441608195",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Saluki88",813,TRUE,FALSE,NA,NA
"846","RT @_TimSwain_: Remember that time that 5 states shut down vote counting until the middle of the night, totally coincidentally, and then Jo…",FALSE,0,NA,2022-12-02 02:21:24,FALSE,NA,"1598502562260451329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShadowPatriot00",266,TRUE,FALSE,NA,NA
"847","RT @dellavolpe: Newt Gingrich on Joe Biden.

""Republicans must learn to quit underestimating @POTUS.""

""Conservatives’ hostility to Biden a…",FALSE,0,NA,2022-12-02 02:21:21,FALSE,NA,"1598502552466649090",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Moorheadspyder",5821,TRUE,FALSE,NA,NA
"848","RT @Jim_Jordan: Joe Biden’s Treasury Secretary is blaming inflation on YOU because YOU spent too much of YOUR own money. 

That’s insane.…",FALSE,0,NA,2022-12-02 02:21:21,FALSE,NA,"1598502551925665794",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DKMtl13",1184,TRUE,FALSE,NA,NA
"849","RT @Jim_Jordan: Joe Biden’s Treasury Secretary is blaming inflation on YOU because YOU spent too much of YOUR own money. 

That’s insane.…",FALSE,0,NA,2022-12-02 02:21:21,FALSE,NA,"1598502550365356032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrianKiggans",1184,TRUE,FALSE,NA,NA
"850","RT @Maks_NAFO_FELLA: Joe Biden said that he, together with French President Macron, are determined to hold the Russian Federation and Putin…",FALSE,0,NA,2022-12-02 02:21:21,FALSE,NA,"1598502549786697728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UKreality",33,TRUE,FALSE,NA,NA
"851","RT @YahooNews: A nationwide freight rail strike that President Joe Biden warned would have decimated the U.S. economy has been averted afte…",FALSE,0,NA,2022-12-02 02:21:17,FALSE,NA,"1598502532355133442",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheOneRebel",1,TRUE,FALSE,NA,NA
"852","RT @LukewSavage: Biden just released a statement thanking the bipartisan effort to crush workers who were about to strike. 

https://t.co/g…",FALSE,0,NA,2022-12-02 02:21:17,FALSE,NA,"1598502532015427584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","keithdboygenius",236,TRUE,FALSE,NA,NA
